,gen,effmax_R,effmin_R,effstd_R,effavg_R
0,0,0.7920074250144138,0.7920074250144138,0.0,0.7920074250144138
1,1,0.8132149840832745,0.8132149840832745,0.0,0.8132149840832745
2,2,0.8132149840832745,0.8132149840832745,0.0,0.8132149840832745
3,3,0.8132149840832745,0.8132149840832745,0.0,0.8132149840832745
4,4,0.8132149840832745,0.8132149840832745,0.0,0.8132149840832745
5,5,0.8147146788029329,0.8147146788029329,0.0,0.8147146788029329
6,6,0.8147146788029329,0.8147146788029329,0.0,0.8147146788029329
7,7,0.8147146788029329,0.8147146788029329,0.0,0.8147146788029329
8,8,0.8147146788029329,0.8147146788029329,0.0,0.8147146788029329
9,9,0.8148956847006201,0.8148956847006201,0.0,0.8148956847006201
10,10,0.8150013057977761,0.8150013057977761,0.0,0.8150013057977761
