time,Surface_runoff,Base_flow,discharge
2009-01-01,0.0,0.0,0.0
2009-02-01,0.02886231372427427,0.01106841395088177,0.03993072767515604
2009-03-01,0.0062098546584699035,0.1019164808460113,0.10812633550448121
2009-04-01,0.0015908802582919545,0.06538233385771589,0.06697321411600785
2009-05-01,0.0002949939999400604,0.005526347328193414,0.005821341328133475
2009-06-01,0.0,0.00020798263168361931,0.00020798263168361931
2009-07-01,0.0,4.57170293936094e-06,4.57170293936094e-06
2009-08-01,0.0,5.715688772222398e-08,5.715688772222398e-08
2009-09-01,9.789777429253433e-07,1.124355061355367e-09,9.801020979866985e-07
2009-10-01,5.10530437485241e-06,1.789695440323582e-11,5.105322271806813e-06
2009-11-01,7.376509163452455e-05,0.0,7.376509163452455e-05
2009-12-01,0.009911187136676733,0.01143266810355345,0.021343855240230185
2010-01-01,0.044743854496715384,0.08512302218143794,0.12986687667815333
2010-02-01,0.006227794786916295,0.12440631897683338,0.13063411376374967
2010-03-01,0.0028420415095270564,0.0763387396543293,0.07918078116385636
2010-04-01,0.0005912560959457723,0.01657918349785027,0.017170439593796043
2010-05-01,0.0001159595733131176,0.0008044726125825715,0.000920432185895689
2010-06-01,0.0,3.0035303398014902e-05,3.0035303398014902e-05
2010-07-01,0.0,7.576091354189125e-07,7.576091354189125e-07
2010-08-01,0.0,1.0898630907667126e-08,1.0898630907667126e-08
2010-09-01,6.586515301341147e-07,1.6128457202441272e-10,6.588128147061391e-07
2010-10-01,3.1170738290759717e-06,0.0,3.1170738290759717e-06
2010-11-01,3.927220016333675e-06,0.0,3.927220016333675e-06
2010-12-01,0.006287817450717271,0.0,0.006287817450717271
2011-01-01,0.0053625904809382965,0.0841046938171326,0.08946728429807091
2011-02-01,0.04645270419293986,0.07518453014038498,0.12163723433332485
2011-03-01,0.004917943716557622,0.12662757577651484,0.13154551949307247
2011-04-01,0.0028428833488564373,0.056892743899448595,0.05973562724830503
2011-05-01,0.0009385810431559754,0.017690246345899188,0.018628827389055164
2011-06-01,0.0,0.0008046077813345318,0.0008046077813345318
2011-07-01,0.0,2.4480250362065534e-05,2.4480250362065534e-05
2011-08-01,0.0,3.530889082789828e-07,3.530889082789828e-07
2011-09-01,2.595222722527203e-07,7.875688434937914e-09,2.6739796068765823e-07
2011-10-01,3.2804232933217697e-06,2.2456429612202043e-10,3.2806478576178917e-06
2011-11-01,1.0068654647976735e-05,1.1330192813969298e-14,1.0068654659306927e-05
2011-12-01,0.0009998381673088797,0.00013582588229087204,0.0011356640495997518
2012-01-01,0.061466799723929454,0.029732051241248333,0.09119885096517778
2012-02-01,0.012015193979696116,0.12691319348301752,0.13892838746271363
2012-03-01,0.005348177888544268,0.1037150226501039,0.10906320053864817
2012-04-01,0.00091324294322566,0.06524486587472962,0.06615810881795528
2012-05-01,0.00023646744054800145,0.0030135928295008108,0.0032500602700488122
2012-06-01,0.0,0.00010464446402638415,0.00010464446402638415
2012-07-01,0.0,2.6665814612549146e-06,2.6665814612549146e-06
2012-08-01,0.0,3.451190004187423e-08,3.451190004187423e-08
2012-09-01,1.169351361781052e-07,8.600041636143228e-10,1.1779514034171953e-07
2012-10-01,8.750068926561508e-06,2.154775737693514e-12,8.750071081337245e-06
2012-11-01,0.0002487839338190188,1.6299491226849413e-06,0.00025041388294170375
2012-12-01,0.04507583126453897,0.010705284589253908,0.055781115853792876
2013-01-01,0.07048977094755195,0.11324721393681741,0.18373698488436935
2013-02-01,0.00626751814736883,0.13504331552684593,0.14131083367421476
2013-03-01,0.0022541943346178,0.08012582364748953,0.08238001798210734
2013-04-01,0.0017053926623175563,0.015072428072929302,0.01677782073524686
2013-05-01,0.0005456696641792774,0.0066233468556708515,0.0071690165198501285
2013-06-01,0.0,0.0002781776486996646,0.0002781776486996646
2013-07-01,0.0,7.352080204739885e-06,7.352080204739885e-06
2013-08-01,0.0,1.2248499191249136e-07,1.2248499191249136e-07
2013-09-01,1.5856854835430397e-06,2.5069477337672344e-09,1.5881924312768068e-06
2013-10-01,4.158907364392454e-06,6.057197119389926e-11,4.158967936363648e-06
2013-11-01,9.819568660368869e-06,2.320961242587442e-07,1.0051664784627612e-05
2013-12-01,0.01301500057668371,2.267165823110405e-06,0.01301726774250682
2014-01-01,0.002305317532378871,0.0858460862893938,0.08815140382177267
2014-02-01,0.002853815680547529,0.027849447917363542,0.03070326359791107
2014-03-01,0.00543368856119319,0.032451145950394375,0.03788483451158756
2014-04-01,0.0008442680474058771,0.06623061404713675,0.06707488209454263
2014-05-01,0.0008927205506202017,0.004252202877596898,0.0051449234282171
2014-06-01,8.721817775961511e-05,0.0030640385766610573,0.0031512567544206725
2014-07-01,0.0,0.00016081443273912254,0.00016081443273912254
2014-08-01,0.0,6.83405844252383e-06,6.83405844252383e-06
2014-09-01,3.5407456266345615e-06,2.794881694076814e-07,3.820233796042243e-06
2014-10-01,0.00010932041096538602,1.1470355884521676e-08,0.00010933188132127055
2014-11-01,0.0009067364926508377,0.0007504012012683225,0.0016571376939191601
2014-12-01,0.002897840739765149,0.02658813495335594,0.029485975693121086
2015-01-01,0.015036713820560807,0.039863414682573525,0.05490012850313433
2015-02-01,0.015767715515007812,0.10777413624812616,0.12354185176313398
2015-03-01,0.002767858289130702,0.10863404753637065,0.11140190582550136
2015-04-01,0.0022769604439610088,0.032291626691566516,0.034568587135527525
2015-05-01,0.0006531681024862868,0.016943231296692736,0.017596399399179022
2015-06-01,7.483531647253393e-06,0.0008108593118078809,0.0008183428434551343
2015-07-01,0.0,4.043549339628909e-05,4.043549339628909e-05
