Land use,code,Coarse,Medium,Medium fine,Fine,Very fine
Forest,1,0.67,0.62,0.56,0.44,0.35
Grass,2,0.57,0.522,0.46,0.35,0.26
Crop,3,0.49,0.442,0.38,0.27,0.18
Bare soil,4,0.41,0.365,0.31,0.2,0.12
imp,5,0.999,0.999,0.999,0.999,0.999
